Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	B. München	5	1	0	12	:	3	9	16	2	0	0	5	:	1	6	3	1	0	7	:	2	10	S-S-S-U-S-S
2	Dortmund	5	1	0	10	:	2	8	16	3	0	0	6	:	1	9	2	1	0	4	:	1	7	S-S-S-U-S-S
3	Stuttgart	4	1	1	13	:	7	6	13	2	0	1	5	:	3	6	2	1	0	8	:	4	7	N-U-S-S-S-S
4	Mainz	4	0	2	9	:	6	3	12	3	0	0	6	:	2	9	1	0	2	3	:	4	3	S-N-S-S-S-N
5	Ingolstadt	3	1	2	6	:	6	0	10	3	0	0	5	:	1	9	0	1	2	1	:	5	1	U-S-N-S-N-S
6	Schalke	2	2	2	8	:	6	2	8	1	1	1	5	:	4	4	1	1	1	3	:	2	4	U-U-N-S-S-N
7	Leverkusen	2	2	2	7	:	6	1	8	1	1	1	3	:	1	4	1	1	1	4	:	5	4	N-N-S-U-S-U
8	M'gladbach	2	1	3	11	:	10	1	7	2	0	1	7	:	4	6	0	1	2	4	:	6	1	U-S-N-S-N-N
9	Hertha	1	4	1	5	:	6	-1	7	0	3	0	1	:	1	3	1	1	1	4	:	5	4	S-U-N-U-U-U
10	Darmstadt	2	1	3	8	:	10	-2	7	0	0	2	1	:	4	0	2	1	1	7	:	6	7	U-N-N-S-N-S
11	Hamburg	1	3	2	7	:	8	-1	6	1	2	1	6	:	6	5	0	1	1	1	:	2	1	U-U-S-U-N-N
12	Augsburg	1	3	2	5	:	7	-2	6	0	2	1	3	:	5	2	1	1	1	2	:	2	4	U-S-N-N-U-U
13	Frankfurt	1	3	2	6	:	9	-3	6	1	2	1	5	:	6	5	0	1	1	1	:	3	1	U-U-N-N-U-S
14	Bremen	1	3	2	10	:	14	-4	6	0	3	0	6	:	6	3	1	0	2	4	:	8	3	U-N-U-N-U-S
15	Köln	1	2	3	6	:	8	-2	5	1	0	2	4	:	5	3	0	2	1	2	:	3	2	N-N-S-U-U-N
16	Wolfsburg	1	2	3	6	:	10	-4	5	1	1	1	3	:	3	4	0	1	2	3	:	7	1	N-U-S-N-U-N
17	Hoffenheim	1	2	3	6	:	11	-5	5	1	1	1	4	:	5	4	0	1	2	2	:	6	1	N-S-U-N-N-U
18	Hannover	1	0	5	3	:	9	-6	3	0	0	3	1	:	4	0	1	0	2	2	:	5	3	S-N-N-N-N-N
