Pos.	Name	S	U	N	T+		T-	±	Punkte	S	U	N	T+		T-	Punkte	S	U	N	T+		T-	Punkte	Tendenz
1	Barcelona	3	0	0	4	:	1	3	9	1	0	0	1	:	0	3	2	0	0	3	:	1	6	S-S-S
2	Real Madrid	2	1	0	11	:	0	11	7	1	0	0	5	:	0	3	1	1	0	6	:	0	4	S-S-U
3	Celta Vigo	2	1	0	8	:	4	4	7	1	1	0	6	:	3	4	1	0	0	2	:	1	3	U-S-S
4	Villarreal	2	1	0	7	:	3	4	7	1	0	0	3	:	1	3	1	1	0	4	:	2	4	S-S-U
5	Eibar	2	1	0	5	:	1	4	7	1	0	0	2	:	0	3	1	1	0	3	:	1	4	U-S-S
6	At. Madrid	2	0	1	5	:	2	3	6	1	0	1	2	:	2	3	1	0	0	3	:	0	3	N-S-S
7	Deportivo	1	2	0	4	:	2	2	5	0	1	0	0	:	0	1	1	1	0	4	:	2	4	S-U-U
8	Valencia	1	2	0	2	:	1	1	5	0	1	0	1	:	1	1	1	1	0	1	:	0	4	S-U-U
9	Real Betis	1	1	1	2	:	6	-4	4	1	1	0	2	:	1	4	0	0	1	0	:	5	0	S-N-U
10	At. Bilbao	1	0	2	3	:	4	-1	3	1	0	1	3	:	2	3	0	0	1	0	:	2	0	S-N-N
11	Granada	1	0	2	4	:	7	-3	3	0	0	2	2	:	6	0	1	0	0	2	:	1	3	N-S-N
12	Espanyol	1	0	2	2	:	9	-7	3	1	0	1	1	:	6	3	0	0	1	1	:	3	0	N-N-S
13	Las Palmas	0	2	1	3	:	4	-1	2	0	1	0	0	:	0	1	0	1	1	3	:	4	1	U-U-N
14	Levante	0	2	1	2	:	3	-1	2	0	1	1	2	:	3	1	0	1	0	0	:	0	1	U-U-N
15	Gijon	0	2	1	0	:	1	-1	2	0	1	1	0	:	1	1	0	1	0	0	:	0	1	N-U-U
16	Malaga	0	2	1	0	:	1	-1	2	0	2	0	0	:	0	2	0	0	1	0	:	1	0	U-N-U
17	Real Sociedad	0	2	1	0	:	1	-1	2	0	1	0	0	:	0	1	0	1	1	0	:	1	1	N-U-U
18	FC Sevilla	0	2	1	1	:	4	-3	2	0	0	1	0	:	3	0	0	2	0	1	:	1	2	U-N-U
19	Vallecano	0	1	2	1	:	6	-5	1	0	1	1	1	:	3	1	0	0	1	0	:	3	0	N-N-U
20	Getafe	0	0	3	2	:	6	-4	0	0	0	1	1	:	2	0	0	0	2	1	:	4	0	N-N-N
